,구군,읍면동,년월,총 유동인구
168,연제구,연산4동,2019-08,125731
169,연제구,연산5동,2019-08,156183
170,연제구,연산6동,2019-08,84909
171,연제구,연산8동,2019-08,100492
172,연제구,연산9동,2019-08,263235
173,수영구,남천1동,2019-08,181643
174,수영구,남천2동,2019-08,79965
175,수영구,수영동,2019-08,113243
176,수영구,망미1동,2019-08,168377
177,수영구,망미2동,2019-08,77549
178,수영구,광안1동,2019-08,161039
179,수영구,광안2동,2019-08,115167
180,수영구,광안3동,2019-08,104844
181,수영구,광안4동,2019-08,79422
182,수영구,민락동,2019-08,172279
183,사상구,삼락동,2019-08,69293
184,사상구,모라1동,2019-08,209700
185,사상구,모라3동,2019-08,61779
186,사상구,덕포1동,2019-08,73749
187,사상구,덕포2동,2019-08,118709
188,사상구,괘법동,2019-08,227026
189,사상구,감전동,2019-08,164916
190,사상구,주례1동,2019-08,103648
191,사상구,주례2동,2019-08,210739
192,사상구,주례3동,2019-08,106026
193,사상구,학장동,2019-08,200837
194,사상구,엄궁동,2019-08,193965
195,기장군,기장읍,2019-08,422041
196,기장군,장안읍,2019-08,108430
197,기장군,일광면,2019-08,91991
198,기장군,철마면,2019-08,64117
199,중구,중앙동,2019-09,112214
200,중구,동광동,2019-09,28639
201,중구,대청동,2019-09,48396
202,중구,보수동,2019-09,52144
203,중구,부평동,2019-09,60750
204,중구,광복동,2019-09,43851
205,중구,남포동,2019-09,79392
206,중구,영주1동,2019-09,40143
207,중구,영주2동,2019-09,46011
208,서구,동대신1동,2019-09,37030
209,서구,동대신2동,2019-09,44804
210,서구,동대신3동,2019-09,71435
211,서구,서대신1동,2019-09,92612
212,서구,서대신3동,2019-09,54569
213,서구,서대신4동,2019-09,53457
214,서구,부민동,2019-09,53737
215,서구,아미동,2019-09,73628
216,서구,초장동,2019-09,23090
217,서구,충무동,2019-09,93738
218,서구,남부민1동,2019-09,40272
219,서구,남부민2동,2019-09,54178
220,서구,암남동,2019-09,144946
221,동구,초량1동,2019-09,47382
222,동구,초량2동,2019-09,58575
223,동구,초량3동,2019-09,114749
224,동구,초량6동,2019-09,39557
225,동구,수정1동,2019-09,30564
226,동구,수정2동,2019-09,73981
227,동구,수정4동,2019-09,25269
228,동구,수정5동,2019-09,27942
229,동구,범일1동,2019-09,48099
230,동구,범일2동,2019-09,156412
231,동구,범일5동,2019-09,29837
232,영도구,남항동,2019-09,102087
233,영도구,영선1동,2019-09,38926
234,영도구,영선2동,2019-09,75780
235,영도구,신선동,2019-09,43976
236,영도구,봉래1동,2019-09,67665
237,영도구,봉래2동,2019-09,42481
238,영도구,청학1동,2019-09,44793
239,영도구,청학2동,2019-09,120786
240,영도구,동삼1동,2019-09,219282
241,영도구,동삼2동,2019-09,64949
242,영도구,동삼3동,2019-09,79888
243,부산진구,부전1동,2019-09,223825
244,부산진구,부전2동,2019-09,299409
245,부산진구,연지동,2019-09,145565
246,부산진구,초읍동,2019-09,153056
247,부산진구,양정1동,2019-09,201622
248,부산진구,양정2동,2019-09,109313
249,부산진구,전포1동,2019-09,152586
250,부산진구,전포2동,2019-09,112813
251,부산진구,부암1동,2019-09,174504
252,부산진구,부암3동,2019-09,121324
253,부산진구,당감1동,2019-09,179818
254,부산진구,당감2동,2019-09,65861
255,부산진구,당감4동,2019-09,122706
256,부산진구,가야1동,2019-09,182216
257,부산진구,가야2동,2019-09,121016
258,부산진구,개금1동,2019-09,128675
259,부산진구,개금2동,2019-09,85832
260,부산진구,개금3동,2019-09,161291
261,부산진구,범천1동,2019-09,119321
262,부산진구,범천2동,2019-09,82974
263,동래구,수민동,2019-09,249699
264,동래구,복산동,2019-09,73640
265,동래구,명륜동,2019-09,166775
266,동래구,온천1동,2019-09,213373
267,동래구,온천2동,2019-09,166159
268,동래구,온천3동,2019-09,179021
269,동래구,사직1동,2019-09,61114
270,동래구,사직2동,2019-09,189712
271,동래구,사직3동,2019-09,92160
272,동래구,안락1동,2019-09,153167
273,동래구,안락2동,2019-09,165490
274,동래구,명장1동,2019-09,84351
275,동래구,명장2동,2019-09,116599
276,남구,대연1동,2019-09,122306
277,남구,대연3동,2019-09,376650
278,남구,대연4동,2019-09,77728
279,남구,대연5동,2019-09,119512
280,남구,대연6동,2019-09,68410
281,남구,용호1동,2019-09,274172
282,남구,용호2동,2019-09,108696
283,남구,용호3동,2019-09,77196
284,남구,용호4동,2019-09,60892
285,남구,용당동,2019-09,93890
286,남구,감만1동,2019-09,96330
287,남구,감만2동,2019-09,50679
288,남구,우암동,2019-09,96779
289,남구,문현1동,2019-09,72366
290,남구,문현2동,2019-09,88844
291,남구,문현3동,2019-09,84652
292,남구,문현4동,2019-09,81887
293,북구,구포1동,2019-09,119123
294,북구,구포2동,2019-09,197176
295,북구,구포3동,2019-09,146572
296,북구,금곡동,2019-09,267472
297,북구,화명1동,2019-09,208202
298,북구,화명2동,2019-09,87012
299,북구,화명3동,2019-09,242447
300,북구,덕천1동,2019-09,108467
301,북구,덕천2동,2019-09,176302
302,북구,덕천3동,2019-09,59973
303,북구,만덕1동,2019-09,58878
304,북구,만덕2동,2019-09,145278
305,북구,만덕3동,2019-09,156046
306,해운대구,우1동,2019-09,288497
307,해운대구,우2동,2019-09,335463
308,해운대구,중1동,2019-09,221259
309,해운대구,중2동,2019-09,101820
310,해운대구,좌1동,2019-09,159703
311,해운대구,좌2동,2019-09,202760
312,해운대구,좌3동,2019-09,116017
313,해운대구,좌4동,2019-09,159487
314,해운대구,송정동,2019-09,79843
315,해운대구,반여1동,2019-09,249191
316,해운대구,반여2동,2019-09,67670
317,해운대구,반여3동,2019-09,64124
318,해운대구,반여4동,2019-09,89386
319,해운대구,반송1동,2019-09,153171
320,해운대구,반송2동,2019-09,169826
321,해운대구,재송1동,2019-09,266228
322,해운대구,재송2동,2019-09,174944
323,사하구,괴정1동,2019-09,176798
324,사하구,괴정2동,2019-09,80739
325,사하구,괴정3동,2019-09,88860
326,사하구,괴정4동,2019-09,101176
327,사하구,당리동,2019-09,169357
328,사하구,하단1동,2019-09,188869
329,사하구,하단2동,2019-09,257187
330,사하구,신평1동,2019-09,104058
331,사하구,신평2동,2019-09,125150
332,사하구,장림1동,2019-09,109723
333,사하구,장림2동,2019-09,175359
334,사하구,다대1동,2019-09,303776
335,사하구,다대2동,2019-09,180073
336,사하구,구평동,2019-09,60054
337,사하구,감천1동,2019-09,148817
338,사하구,감천2동,2019-09,39382
339,금정구,서1동,2019-09,43624
340,금정구,서2동,2019-09,67326
341,금정구,서3동,2019-09,80397
342,금정구,부곡1동,2019-09,54865
343,금정구,부곡2동,2019-09,113332
344,금정구,부곡3동,2019-09,172906
345,금정구,부곡4동,2019-09,61523
346,금정구,장전1동,2019-09,130599
347,금정구,장전2동,2019-09,255992
348,금정구,선두구동,2019-09,33541
349,금정구,청룡노포동,2019-09,100537
350,금정구,남산동,2019-09,187429
351,금정구,구서1동,2019-09,162520
352,금정구,구서2동,2019-09,232725
353,금정구,금성동,2019-09,10246
354,강서구,대저1동,2019-09,75442
355,강서구,대저2동,2019-09,147261
356,강서구,강동동,2019-09,42808
357,강서구,가락동,2019-09,28790
358,강서구,녹산동,2019-09,348316
359,강서구,가덕도동,2019-09,36728
360,연제구,거제1동,2019-09,224633
361,연제구,거제2동,2019-09,134002
362,연제구,거제3동,2019-09,89459
363,연제구,거제4동,2019-09,50611
364,연제구,연산1동,2019-09,114873
365,연제구,연산2동,2019-09,114432
366,연제구,연산3동,2019-09,68510
367,연제구,연산4동,2019-09,129763
368,연제구,연산5동,2019-09,152874
369,연제구,연산6동,2019-09,88648
370,연제구,연산8동,2019-09,94912
