,구군,읍면동,예측 유동인구,총 인구,예측 구매력,구의 동별 평균 인구,구의 동별 평균 구매력,영업이익/매출액(%),경쟁업체 수,예측 유동인구 평균,경쟁업체 평균,영업이익/매출액(%) 평균
0,중구,중앙동,15.3358,2.029,0.8014,4.656,1.839,3.8430024462903543,5.0,12.018633333333332,4.066666666666666,6.26678021872023
1,중구,동광동,8.0876,2.957,1.1678,4.656,1.839,5.740330334303608,1.2,12.018633333333332,4.066666666666666,6.26678021872023
2,중구,대청동,9.9678,6.692,2.6428,4.656,1.839,6.798000149242593,0.7,12.018633333333332,4.066666666666666,6.26678021872023
3,중구,보수동,14.3696,10.777,4.256,4.656,1.839,5.901105339993843,1.6,12.018633333333332,4.066666666666666,6.26678021872023
4,중구,부평동,11.8364,4.717,1.8628,4.656,1.839,10.088432005690892,3.2,12.018633333333332,4.066666666666666,6.26678021872023
5,중구,광복동,14.1229,1.119,0.442,4.656,1.839,11.232621929345276,17.1,12.018633333333332,4.066666666666666,6.26678021872023
6,중구,남포동,8.604,1.07,0.4226,4.656,1.839,5.523293793277439,5.7,12.018633333333332,4.066666666666666,6.26678021872023
7,중구,영주1동,12.338,4.923,1.9442,4.656,1.839,1.8148959375535183,1.1,12.018633333333332,4.066666666666666,6.26678021872023
8,중구,영주2동,13.5056,7.626,3.0116,4.656,1.839,5.4593400327845485,1.0,12.018633333333332,4.066666666666666,6.26678021872023
9,서구,동대신1동,15.7184,4.632,2.1338,4.656,1.839,5.517831837505903,1.0,16.318746153846153,1.4769230769230766,5.746372115984207
10,서구,동대신2동,17.5595,7.921,3.649,4.656,1.839,6.753987535650153,1.4,16.318746153846153,1.4769230769230766,5.746372115984207
11,서구,동대신3동,13.8011,6.682,3.0782,4.656,1.839,5.5175891630584095,1.2,16.318746153846153,1.4769230769230766,5.746372115984207
12,서구,서대신1동,11.0261,12.199,5.6196,4.656,1.839,6.085691590663312,1.8,16.318746153846153,1.4769230769230766,5.746372115984207
13,서구,서대신3동,14.0944,8.897,4.0986,4.656,1.839,12.347716497629476,1.3,16.318746153846153,1.4769230769230766,5.746372115984207
14,서구,서대신4동,15.2878,8.165,3.7614,4.656,1.839,3.7040008557980313,0.5,16.318746153846153,1.4769230769230766,5.746372115984207
15,서구,부민동,26.5668,8.007,3.6886,4.656,1.839,5.337721047733013,1.6,16.318746153846153,1.4769230769230766,5.746372115984207
16,서구,아미동,24.9393,7.49,3.4504,8.325,3.8352,5.203898070377512,0.9,16.318746153846153,1.4769230769230766,5.746372115984207
17,서구,초장동,21.1935,4.869,2.243,8.325,3.8352,9.55985095482068,0.7,16.318746153846153,1.4769230769230766,5.746372115984207
18,서구,충무동,11.7395,10.237,4.7158,8.325,3.8352,6.3864768832916345,3.1,16.318746153846153,1.4769230769230766,5.746372115984207
19,서구,남부민1동,15.0866,4.848,2.2332,8.325,3.8352,3.126911265764925,1.0,16.318746153846153,1.4769230769230766,5.746372115984207
20,서구,남부민2동,16.9271,10.015,4.6136,8.325,3.8352,2.2596842297838515,0.6,16.318746153846153,1.4769230769230766,5.746372115984207
21,서구,암남동,8.2036,14.267,6.5722,8.325,3.8352,2.9014775757177915,4.1,16.318746153846153,1.4769230769230766,5.746372115984207
22,동구,초량1동,9.1393,4.922,2.5238,8.325,3.8352,3.3817671112182115,1.9,10.271372727272727,4.090909090909091,8.305766926095247
23,동구,초량2동,11.4303,5.899,3.0248,8.325,3.8352,8.368026644462947,3.0,10.271372727272727,4.090909090909091,8.305766926095247
24,동구,초량3동,8.8662,8.488,4.3524,8.325,3.8352,6.7490172361657095,2.7,10.271372727272727,4.090909090909091,8.305766926095247
25,동구,초량6동,11.3036,6.645,3.4074,8.325,3.8352,16.377826236657867,1.4,10.271372727272727,4.090909090909091,8.305766926095247
26,동구,수정1동,11.2545,4.36,2.2356,8.325,3.8352,10.258431394628682,0.7,10.271372727272727,4.090909090909091,8.305766926095247
27,동구,수정2동,8.3829,10.047,5.1518,8.325,3.8352,4.977085415762971,1.9,10.271372727272727,4.090909090909091,8.305766926095247
28,동구,수정4동,9.7911,4.393,2.2526,8.325,3.8352,14.717198922662563,0.8,10.271372727272727,4.090909090909091,8.305766926095247
29,동구,수정5동,11.9401,5.865,3.0074,8.325,3.8352,11.311589174184597,0.5,10.271372727272727,4.090909090909091,8.305766926095247
30,동구,범일1동,10.1715,12.453,6.3856,8.325,3.8352,7.9917639277103305,3.9,10.271372727272727,4.090909090909091,8.305766926095247
