,행정동명,매출액 대비 영업이익
2,중앙동,3.8430024462903547
3,동광동,5.740330334303607
4,대청동,6.798000149242593
5,보수동,5.901105339993842
6,부평동,10.088432005690892
7,광복동,11.232621929345276
8,남포동,5.523293793277439
9,영주1동,1.8148959375535185
10,영주2동,5.4593400327845485
12,동대신1동,5.517831837505904
13,동대신2동,6.753987535650154
14,동대신3동,5.51758916305841
15,서대신1동,6.085691590663311
16,서대신3동,12.347716497629477
17,서대신4동,3.7040008557980313
18,부민동,5.337721047733014
19,아미동,5.203898070377512
20,초장동,9.55985095482068
21,충무동,6.3864768832916345
22,남부민1동,3.126911265764925
23,남부민2동,2.2596842297838515
24,암남동,2.9014775757177915
26,초량1동,3.381767111218212
27,초량2동,8.368026644462947
28,초량3동,6.7490172361657095
29,초량6동,16.377826236657867
30,수정1동,10.258431394628682
31,수정2동,4.977085415762971
32,수정4동,14.717198922662563
33,수정5동,11.311589174184594
34,범일1동,7.99176392771033
35,범일2동,5.4362722704431246
37,범일5동,1.7944578531506907
40,남항동,6.960916729926815
41,영선1동,13.95303198796363
42,영선2동,10.667908070760033
43,신선동,6.316735347181759
44,봉래1동,6.335125039857878
45,봉래2동,5.126583331946271
46,청학1동,7.9365700861393895
47,청학2동,6.550584922010398
48,동삼1동,3.8095761640371615
49,동삼2동,15.196122430661521
50,동삼3동,6.001327418171656
52,부전1동,6.041939784830184
53,부전2동,5.729128748088904
54,연지동,5.486581988348773
55,초읍동,7.8815623441030604
56,양정1동,5.977593592220525
57,양정2동,6.190923766435141
58,전포1동,5.454733844754607
59,전포2동,6.089577950043067
60,부암1동,5.88941609373487
61,부암3동,7.143944294357141
62,당감1동,6.648195142161686
63,당감2동,6.007492349744629
64,당감4동,3.578608430167085
65,가야1동,6.108544736638365
66,가야2동,7.011000050055147
67,개금1동,4.045426705837166
69,개금2동,10.407569868406592
70,개금3동,6.482289021971561
71,범천1동,7.005722052657447
72,범천2동,5.520064695489503
74,수민동,4.244192366564719
75,복산동,14.027049406569143
76,명륜동,7.3809010435280875
77,온천1동,5.123998644613939
78,온천2동,7.72777117086506
79,온천3동,7.795995891233987
80,사직1동,6.178462276023251
81,사직2동,6.312548113933795
82,사직3동,6.772131650159298
83,안락1동,5.858952183148252
84,안락2동,6.101954684265307
85,명장1동,7.1419122704905025
86,명장2동,5.148168769185422
88,대연1동,3.9468220545127384
89,대연3동,2.5742740212031903
90,대연4동,7.171234050508669
91,대연5동,5.928600985592296
92,대연6동,5.222500272005223
93,용호1동,9.156581132204666
94,용호2동,11.008873801441247
95,용호3동,5.924693871698547
96,용호4동,2.314868733181726
97,용당동,7.944303855798289
98,감만1동,4.763720238662575
99,감만2동,7.060331651519385
100,우암동,6.802319273840664
101,문현1동,4.671920458718188
102,문현2동,3.910160406731565
103,문현3동,4.4914615094542905
104,문현4동,4.983951726794197
106,구포1동,9.957072692818377
107,구포2동,4.209950484440384
108,구포3동,8.681116709446398
109,금곡동,5.09832744743022
110,화명1동,6.765236616650139
111,화명2동,7.034984897885704
112,화명3동,7.056765369101939
113,덕천1동,9.827838129724922
114,덕천2동,3.514244294952193
