선두구동,총인구수 (명),2458
청룡노포동,총인구수 (명),10247
남산동,총인구수 (명),30579
구서제1동,총인구수 (명),19466
구서제2동,총인구수 (명),34441
금성동,총인구수 (명),1122
강서구,총인구수 (명),129566
대저1동,총인구수 (명),6962
대저2동,총인구수 (명),7493
강동동,총인구수 (명),4707
명지1동,총인구수 (명),42564
가락동,총인구수 (명),2568
명지2동,총인구수 (명),30605
녹산동,총인구수 (명),31100
가덕도동,총인구수 (명),3567
연제구,총인구수 (명),209395
거제제1동,총인구수 (명),30567
거제제2동,총인구수 (명),12743
거제제3동,총인구수 (명),10635
거제제4동,총인구수 (명),11093
연산제1동,총인구수 (명),16954
연산제2동,총인구수 (명),16294
연산제3동,총인구수 (명),7837
연산제4동,총인구수 (명),17244
연산제5동,총인구수 (명),16369
연산제6동,총인구수 (명),17655
연산제8동,총인구수 (명),14948
연산제9동,총인구수 (명),37056
수영구,총인구수 (명),176148
남천제1동,총인구수 (명),14211
남천제2동,총인구수 (명),12453
수영동,총인구수 (명),15230
망미제1동,총인구수 (명),28504
망미제2동,총인구수 (명),11987
광안제1동,총인구수 (명),26280
광안제2동,총인구수 (명),18960
광안제3동,총인구수 (명),10394
광안제4동,총인구수 (명),11238
민락동,총인구수 (명),26891
사상구,총인구수 (명),218094
삼락동,총인구수 (명),6278
모라제1동,총인구수 (명),28767
모라제3동,총인구수 (명),11524
덕포제1동,총인구수 (명),9229
덕포제2동,총인구수 (명),13492
괘법동,총인구수 (명),21708
감전동,총인구수 (명),14261
주례제1동,총인구수 (명),16061
주례제2동,총인구수 (명),23858
주례제3동,총인구수 (명),13794
학장동,총인구수 (명),30105
엄궁동,총인구수 (명),29017
기장군,총인구수 (명),164716
기장읍,총인구수 (명),55567
장안읍,총인구수 (명),8965
정관읍,총인구수 (명),83116
일광면,총인구수 (명),8668
철마면,총인구수 (명),8400
